figure_id,panel_id,experiment_id,subexperiment_id,setting_id,method_id,method_display_name,plot_label,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,n_events,n_users,filter_id,filter_description,run_mode,paper_result,notes
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.7070387387223924,Predicted 6h target (log1p),2.749803542414442,2.6752513084597087,2.8233554560853493,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.8088611052168138,Predicted 6h target (log1p),2.812441662847544,2.73961175470401,2.885873506299076,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.851318431191252,Predicted 6h target (log1p),2.8501555912405645,2.7906695320903427,2.9102719374884645,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.9060927947337425,Predicted 6h target (log1p),2.930931464760397,2.867546469981822,2.994650098620046,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.9350409692079844,Predicted 6h target (log1p),2.927735028575209,2.873924646163197,2.981261439495441,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.9739347482528906,Predicted 6h target (log1p),2.971652118833438,2.9192717997595365,3.023823055891526,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.0056807270561965,Predicted 6h target (log1p),3.031714033855145,2.9720146215545493,3.0875889231399403,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.0332675609058204,Predicted 6h target (log1p),3.05191411013455,2.994796017353988,3.105253980596983,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.053600800778046,Predicted 6h target (log1p),3.039398620935711,2.991444699586295,3.0867229332897823,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.167503059448351,Predicted 6h target (log1p),3.2293587698239783,3.158882621418828,3.2958865972932387,0.95,user_cluster_bootstrap,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_b,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,not_applicable,not_applicable,,not_applicable,none,False,False,ranking_regret_per_time_bin,ranking_regret_per_time_bin,method_id,source_aware_reference,"Reference
(offline)",0.0,0.0,0.0,0.95,user_cluster_resampling_of_empirical_update_routes_with_fixed_support_and_history_fitted_proxy_scores,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,Lower is better. Points are estimates; horizontal bars are 95% user-bootstrap CIs. Dashed line marks Carrier; Reference is offline only.
fig_exp3_long_term_recoverability,panel_b,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,not_applicable,not_applicable,,not_applicable,none,False,False,ranking_regret_per_time_bin,ranking_regret_per_time_bin,method_id,partial_source_label_q50,Labels 50%,0.0600230242590404,0.0320525632625036,0.108530179330746,0.95,user_cluster_resampling_of_empirical_update_routes_with_fixed_support_and_history_fitted_proxy_scores,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,Lower is better. Points are estimates; horizontal bars are 95% user-bootstrap CIs. Dashed line marks Carrier; Reference is offline only.
fig_exp3_long_term_recoverability,panel_b,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,not_applicable,not_applicable,,not_applicable,none,False,False,ranking_regret_per_time_bin,ranking_regret_per_time_bin,method_id,partial_source_label_q30,Labels 30%,0.0593722599977121,0.0335539439089042,0.1249343797528696,0.95,user_cluster_resampling_of_empirical_update_routes_with_fixed_support_and_history_fitted_proxy_scores,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,Lower is better. Points are estimates; horizontal bars are 95% user-bootstrap CIs. Dashed line marks Carrier; Reference is offline only.
fig_exp3_long_term_recoverability,panel_b,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,not_applicable,not_applicable,,not_applicable,none,False,False,ranking_regret_per_time_bin,ranking_regret_per_time_bin,method_id,partial_source_label_q10,Labels 10%,0.0585070411455873,0.0381627753756219,0.1435040316405149,0.95,user_cluster_resampling_of_empirical_update_routes_with_fixed_support_and_history_fitted_proxy_scores,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,Lower is better. Points are estimates; horizontal bars are 95% user-bootstrap CIs. Dashed line marks Carrier; Reference is offline only.
fig_exp3_long_term_recoverability,panel_b,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,not_applicable,not_applicable,,not_applicable,none,False,False,ranking_regret_per_time_bin,ranking_regret_per_time_bin,method_id,history_mean_static,History mean,0.0291363834230174,0.0116096775062578,0.0944009287453489,0.95,user_cluster_resampling_of_empirical_update_routes_with_fixed_support_and_history_fitted_proxy_scores,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,Lower is better. Points are estimates; horizontal bars are 95% user-bootstrap CIs. Dashed line marks Carrier; Reference is offline only.
fig_exp3_long_term_recoverability,panel_b,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,not_applicable,not_applicable,,not_applicable,none,False,False,ranking_regret_per_time_bin,ranking_regret_per_time_bin,method_id,short_term_ridge_proxy,ST ridge,0.0248357099523486,0.0084531002139386,0.0873953573973681,0.95,user_cluster_resampling_of_empirical_update_routes_with_fixed_support_and_history_fitted_proxy_scores,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,Lower is better. Points are estimates; horizontal bars are 95% user-bootstrap CIs. Dashed line marks Carrier; Reference is offline only.
fig_exp3_long_term_recoverability,panel_b,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,not_applicable,not_applicable,,not_applicable,none,False,False,ranking_regret_per_time_bin,ranking_regret_per_time_bin,method_id,short_term_composite_surrogate,ST composite,0.0463065760019228,0.0313178802238327,0.1051071197918838,0.95,user_cluster_resampling_of_empirical_update_routes_with_fixed_support_and_history_fitted_proxy_scores,,1000,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,full,True,Lower is better. Points are estimates; horizontal bars are 95% user-bootstrap CIs. Dashed line marks Carrier; Reference is offline only.
